,home_team_goals_difference,away_team_goals_difference,games_won_home_team,games_won_away_team,games_against_home,games_against_away,home_team_overall_rating,away_team_overall_rating,odds_home,odds_draw,odds_away
0,0.0,0.0,0.0,0.0,0.0,0.0,657.0,705.0,0.3306657506992415,0.3026764481859053,0.40172466302690557
1,0.0,0.0,0.0,0.0,0.0,0.0,724.0,754.0,0.3285805643765985,0.3090441358690515,0.39744216166640234
2,0.0,0.0,0.0,0.0,0.0,0.0,775.0,671.0,0.6141655631200278,0.24992470864924968,0.17097659014277472
3,1.0,2.0,1.0,1.0,0.0,0.0,658.0,776.0,0.2416034348051435,0.29520111562528517,0.4982623114816237
4,-2.0,0.0,0.0,0.0,0.0,0.0,683.0,660.0,0.5155093830190045,0.2880802137569621,0.23147726513608555
5,0.0,-2.0,0.0,0.0,0.0,0.0,733.0,667.0,0.5207325555712303,0.2860583477740404,0.22827595856678165
6,0.0,2.0,0.0,2.0,0.0,0.0,658.0,658.0,0.40295855273495745,0.30091593360613,0.33119237557096476
7,1.0,2.0,1.0,1.0,0.0,0.0,785.0,758.0,0.5068281175061744,0.2915813748609281,0.2366573695449497
8,1.0,-1.0,1.0,0.0,0.0,0.0,655.0,706.0,0.32009761580012946,0.3038476145438417,0.4111216315680811
9,-2.0,-2.0,0.0,0.0,0.0,0.0,713.0,713.0,0.4502228730401744,0.4502228730401744,0.4502228730401744
10,2.0,1.0,2.0,1.0,0.0,0.0,660.0,731.0,0.31626103587624455,0.30171105233574885,0.41709477370005876
11,-3.0,0.0,0.0,0.0,0.0,0.0,669.0,755.0,0.21662004301845514,0.28515523196626946,0.5332915869273277
12,3.0,-3.0,2.0,0.0,0.0,0.0,732.0,709.0,0.6148356001471021,0.24853323056993762,0.1716980311950125
13,0.0,0.0,0.0,2.0,0.0,0.0,693.0,654.0,0.5431624452521415,0.2779323380760819,0.2139720785838289
14,0.0,1.0,0.0,1.0,0.0,0.0,764.0,747.0,0.5704608383093641,0.26748446358223105,0.19712156002045716
15,2.0,-1.0,2.0,2.0,0.0,0.0,767.0,661.0,0.7135429382546042,0.19066241685810656,0.13086150679934155
16,-4.0,1.0,0.0,1.0,0.0,0.0,700.0,693.0,0.3671630372592246,0.3007945420767763,0.3671092825760514
17,-1.0,4.0,1.0,3.0,0.0,0.0,713.0,785.0,0.1873463003954503,0.2669325253745406,0.5807880361420614
18,4.0,2.0,3.0,1.0,0.0,0.0,731.0,763.0,0.24151782453662013,0.2805132145701402,0.513035822805292
